history,model,scenario,write_cl,read_cl,result,reason,workload_status_counts,raw_path
20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-mw-quorum-05,mw,normal,QUORUM,N/A,no_witness_observed,diagnostic state did not show b without a,"{""ok"": 2}",results/raw/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538/member-b/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-mw-quorum-05.jsonl
20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-mw-one-01,mw,normal,ONE,N/A,no_witness_observed,diagnostic state did not show b without a,"{""ok"": 2}",results/raw/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538/member-b/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-mw-one-01.jsonl
20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-wfr-quorum-03,wfr,normal,QUORUM,QUORUM,no_witness_observed,diagnostic state did not show b without a,"{""ok"": 3}",results/raw/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538/member-b/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-wfr-quorum-03.jsonl
20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-ryw-quorum-04,ryw,normal,QUORUM,QUORUM,no_witness_observed,follow-up read returned 'v1',"{""ok"": 2}",results/raw/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538/member-b/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-ryw-quorum-04.jsonl
20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-mr-one-05,mr,normal,ONE,ONE,no_witness_observed,second read returned 'v1',"{""ok"": 3}",results/raw/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538/member-b/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-mr-one-05.jsonl
20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-wfr-one-04,wfr,normal,ONE,ONE,no_witness_observed,diagnostic state did not show b without a,"{""ok"": 3}",results/raw/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538/member-b/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-wfr-one-04.jsonl
20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-ryw-one-04,ryw,normal,ONE,ONE,no_witness_observed,follow-up read returned 'v1',"{""ok"": 2}",results/raw/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538/member-b/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-ryw-one-04.jsonl
20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-mr-quorum-03,mr,normal,QUORUM,QUORUM,no_witness_observed,second read returned 'v1',"{""ok"": 3}",results/raw/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538/member-b/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-mr-quorum-03.jsonl
20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-wfr-one-01,wfr,normal,ONE,ONE,no_witness_observed,diagnostic state did not show b without a,"{""ok"": 3}",results/raw/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538/member-b/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-wfr-one-01.jsonl
20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-mw-one-04,mw,normal,ONE,N/A,no_witness_observed,diagnostic state did not show b without a,"{""ok"": 2}",results/raw/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538/member-b/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-mw-one-04.jsonl
20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-mr-quorum-05,mr,normal,QUORUM,QUORUM,no_witness_observed,second read returned 'v1',"{""ok"": 3}",results/raw/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538/member-b/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-mr-quorum-05.jsonl
20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-ryw-quorum-03,ryw,normal,QUORUM,QUORUM,no_witness_observed,follow-up read returned 'v1',"{""ok"": 2}",results/raw/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538/member-b/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-ryw-quorum-03.jsonl
20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-mr-one-04,mr,normal,ONE,ONE,no_witness_observed,second read returned 'v1',"{""ok"": 3}",results/raw/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538/member-b/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-mr-one-04.jsonl
20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-mr-quorum-04,mr,normal,QUORUM,QUORUM,no_witness_observed,second read returned 'v1',"{""ok"": 3}",results/raw/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538/member-b/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-mr-quorum-04.jsonl
20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-mw-quorum-02,mw,normal,QUORUM,N/A,no_witness_observed,diagnostic state did not show b without a,"{""ok"": 2}",results/raw/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538/member-b/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-mw-quorum-02.jsonl
20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-mw-one-03,mw,normal,ONE,N/A,no_witness_observed,diagnostic state did not show b without a,"{""ok"": 2}",results/raw/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538/member-b/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-mw-one-03.jsonl
20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-mw-quorum-04,mw,normal,QUORUM,N/A,no_witness_observed,diagnostic state did not show b without a,"{""ok"": 2}",results/raw/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538/member-b/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-mw-quorum-04.jsonl
20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-mr-one-01,mr,normal,ONE,ONE,no_witness_observed,second read returned 'v1',"{""ok"": 3}",results/raw/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538/member-b/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-mr-one-01.jsonl
20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-wfr-quorum-02,wfr,normal,QUORUM,QUORUM,no_witness_observed,diagnostic state did not show b without a,"{""ok"": 3}",results/raw/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538/member-b/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-wfr-quorum-02.jsonl
20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-ryw-quorum-05,ryw,normal,QUORUM,QUORUM,no_witness_observed,follow-up read returned 'v1',"{""ok"": 2}",results/raw/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538/member-b/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-ryw-quorum-05.jsonl
20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-wfr-quorum-04,wfr,normal,QUORUM,QUORUM,no_witness_observed,diagnostic state did not show b without a,"{""ok"": 3}",results/raw/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538/member-b/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-wfr-quorum-04.jsonl
20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-ryw-one-02,ryw,normal,ONE,ONE,no_witness_observed,follow-up read returned 'v1',"{""ok"": 2}",results/raw/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538/member-b/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-ryw-one-02.jsonl
20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-mw-one-05,mw,normal,ONE,N/A,no_witness_observed,diagnostic state did not show b without a,"{""ok"": 2}",results/raw/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538/member-b/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-mw-one-05.jsonl
20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-wfr-one-02,wfr,normal,ONE,ONE,no_witness_observed,diagnostic state did not show b without a,"{""ok"": 3}",results/raw/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538/member-b/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-wfr-one-02.jsonl
20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-mw-one-02,mw,normal,ONE,N/A,no_witness_observed,diagnostic state did not show b without a,"{""ok"": 2}",results/raw/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538/member-b/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-mw-one-02.jsonl
20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-mr-one-03,mr,normal,ONE,ONE,no_witness_observed,second read returned 'v1',"{""ok"": 3}",results/raw/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538/member-b/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-mr-one-03.jsonl
20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-ryw-quorum-02,ryw,normal,QUORUM,QUORUM,no_witness_observed,follow-up read returned 'v1',"{""ok"": 2}",results/raw/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538/member-b/20260916T110624Z-cf03cc10-8c8c-4f06-9e0f-8bdd87b20538-ryw-quorum-02.jsonl
